İlan_Numarası,İlan_Güncelleme_Tarihi,Kategorisi,Brüt_Metrekare,Binanın_Yaşı,Binanın_Kat_Sayısı,Kullanım_Durumu,Yatırıma_Uygunluk,Eşya_Durumu,Banyo_Sayısı,İlan_Oluşturma_Tarihi,Türü,Net_Metrekare,Oda_Sayısı,Bulunduğu_Kat,Isıtma_Tipi,Krediye_Uygunluk,Site_İçerisinde,Takas,Fiyat_Durumu,Fiyatı,İl,İlçe,Mahalle,yaka,Yaşam_endeksi,Nüfus
2003,02 Şubat 2022 ,Satılık ,190,5-10 ,20,Kiracı Oturuyor ,Bilinmiyor ,Yok,2 ,27 Ocak 2022 ,Konut ,168,4+1 ,1. Kat ,Klimalı ,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,18000000,İstanbul , Beşiktaş , Nisbetiye Mahallesi ,Avrupa Yakası,0.911,178.938
166,14 Ocak 2022 ,Satılık ,300,21 Ve Üzeri ,2,Kiracı Oturuyor ,Bilinmiyor ,Yok,3 ,15 Ekim 2021 ,Konut ,270,5+1 ,Bahçe Katı ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,8500000,İstanbul , Beşiktaş , Akat Mahallesi ,Avrupa Yakası,0.911,178.938
167,14 Ocak 2022 ,Satılık ,350,21 Ve Üzeri ,3,Mülk Sahibi Oturuyor ,Bilinmiyor ,Yok,2 ,15 Ekim 2021 ,Konut ,320,5+2 ,Düz Giriş ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,16500000,İstanbul , Beşiktaş , Levent Mahallesi ,Avrupa Yakası,0.911,178.938
115,06 Ocak 2022 ,Satılık ,450,5-10 ,4,Kiracı Oturuyor ,Bilinmiyor ,Yok,3 ,22 Eylül 2021 ,Konut ,400,6+2 ,Düz Giriş ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,22000000,İstanbul , Beşiktaş , Levazım Mahallesi ,Avrupa Yakası,0.911,178.938
2879,08 Şubat 2022 ,Satılık ,160,21 Ve Üzeri ,2,Mülk Sahibi Oturuyor ,Bilinmiyor ,Yok,1 ,08 Şubat 2022 ,Konut ,140,3+1 ,1. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,4250000,İstanbul , Beşiktaş , Nisbetiye Mahallesi ,Avrupa Yakası,0.911,178.938
2878,08 Şubat 2022 ,Satılık ,65,21 Ve Üzeri ,4,Mülk Sahibi Oturuyor ,Bilinmiyor ,Yok,1 ,08 Şubat 2022 ,Konut ,55,2+1 ,Bahçe Katı ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,875000,İstanbul , Beşiktaş , Arnavutköy Mahallesi ,Avrupa Yakası,0.911,178.938
2762,07 Şubat 2022 ,Satılık ,350,21 Ve Üzeri ,6,Mülk Sahibi Oturuyor ,Bilinmiyor ,Yok,4 ,07 Şubat 2022 ,Konut ,300,5+1 ,6. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,28000000,İstanbul , Beşiktaş , Sinanpaşa Mahallesi ,Avrupa Yakası,0.911,178.938
2707,06 Şubat 2022 ,Satılık ,90,21 Ve Üzeri ,7,Mülk Sahibi Oturuyor ,Bilinmiyor ,Yok,1 ,06 Şubat 2022 ,Konut ,85,2+1 ,Bahçe Katı ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,1250000,İstanbul , Beşiktaş , Etiler Mahallesi ,Avrupa Yakası,0.911,178.938
2699,06 Şubat 2022 ,Satılık ,160,21 Ve Üzeri ,9,Mülk Sahibi Oturuyor ,Bilinmiyor ,Yok,1 ,06 Şubat 2022 ,Konut ,130,3+1 ,8. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,4950000,İstanbul , Beşiktaş , Nisbetiye Mahallesi ,Avrupa Yakası,0.911,178.938
2737,07 Şubat 2022 ,Satılık ,190,16-20 ,5,Mülk Sahibi Oturuyor ,Bilinmiyor ,Yok,2 ,07 Şubat 2022 ,Konut ,170,4+1 ,2. Kat ,Doğalgaz,KREDIYE UYGUN ,Hayır,Var,Genel Fiyat ,7600000,İstanbul , Beşiktaş , Yıldız Mahallesi ,Avrupa Yakası,0.911,178.938
